Model,PMID,QID,Type,Question,Human Answer,Model Answer,annotation_verdict,verdict,note
GPT-4o FT,41023944,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI,NNRTI,INSTI","Individuals received NRTIs, NNRTIs, and PIs before sample sequencing.",ok,model error,
GPT-4o FT,41023944,16,List,Which drugs were received by individuals in the study before sample sequencing?,DTG (no other ARVs specified),"Specific drugs like Tenofovir, Lamivudine, Emtricitabine, Efavirenz were received by individuals in the study before sample sequencing.",ok,model error,
GPT-4o FT,41029850,4,List,What were the GenBank accession numbers for sequenced HIV isolates?,"PQ893197, PQ893192, OQ985810, OR259747 and PQ893191 & submission ID: 2961867) ","PQ893197, PQ893192, OQ985810, OQ259747, and PQ893191.",ok,model error,
GPT-4o FT,41056006,10,List,What method was used for sequencing?,Sanger,The paper does not specify the exact sequencing method used.,convention,annotation/convention,convention: annotation defaults to Sanger; the PDF never mentions it
GPT-4o FT,41056006,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI, CAI","Participants received drugs from the NRTI, integrase inhibitor, and fusion inhibitor classes.",ok,model error,
GPT-4o FT,41056006,5,Number,How many individuals had samples obtained for HIV sequencing?,10,"182 participants received at least one dose of study drug, and those who met virologic failure criteria were included in the resistance analysis population.",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,41056006,6,List,From which countries were the sequenced samples obtained?,Not provided (multicenter trial),The sequenced samples were obtained from the USA and the Dominican Republic.,ambiguous,annotation/convention,ambiguous: annotation hedges: 'Not provided (multicenter trial)'
GPT-4o FT,41056006,7,List,From what years were the sequenced samples obtained?,Not provided,The samples were obtained between 22 November 2019 and 27 August 2020.,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT,41057785,10,List,What method was used for sequencing?,Sanger (not stated),The paper does not specify the method used for sequencing.,ambiguous,annotation/convention,ambiguous: annotation hedges: 'Sanger (not stated)'
GPT-4o FT,41057785,11,List,What type of samples were sequenced?,Plasma (not stated),The paper does not specify the type of clinical specimens sequenced.,ambiguous,annotation/convention,ambiguous: annotation hedges: 'Plasma (not stated)'
GPT-4o FT,41057785,16,List,Which drugs were received by individuals in the study before sample sequencing?,"ABC, AZT, D4T, TDF, ETR, NVP, EFV, LPV, DRV/r, DTG","Specific drugs received included AZT, TDF, D4T, and TDF.",ok,model error,
GPT-4o FT,41057785,9,List,Which HIV genes were reported to have been sequenced?,"RT,PR,IN","The paper discusses mutations in several HIV genes, including those conferring resistance.",ok,model error,
GPT-4o FT,41088231,8,Boolean,Were samples cloned prior to sequencing?,Yes,"No, samples were not cloned prior to sequencing.",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,41088231,9,List,Which HIV genes were reported to have been sequenced?,Whole genome,"The sequenced genes include the near full-length genome (NFLG), specifically mentioning regions of vif and env genes, and the pol gene.",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,41091504,8,Boolean,Were samples cloned prior to sequencing?,Yes (site-directed mutants),The paper does not mention whether samples were cloned prior to sequencing.,wrong,annotation/convention,"wrong: computational paper (molecular dynamics and machine learning on published protease data); the PDF never mentions cloning, site-directed mutagenesis or sequencing, yet the annotation says 'Yes (site-directed mutants)'"
GPT-4o FT,41091504,9,List,Which HIV genes were reported to have been sequenced?,PR,The paper does not report specific HIV genes that were sequenced.,ok,model error,
GPT-4o FT,41093949,10,List,What method was used for sequencing?,Not stated,Sanger sequencing was used.,ambiguous,annotation/convention,ambiguous: annotation hedges: 'Not stated'
GPT-4o FT,41093949,6,List,From which countries were the sequenced samples obtained?,Not applicable.,The samples were obtained from China and the United States.,ok,model error,
GPT-4o FT,41093949,7,List,From what years were the sequenced samples obtained?,Not applicable.,The samples were obtained from 1978 to 2023.,ok,model error,
GPT-4o FT,41112839,10,List,What method was used for sequencing?,Sanger,Big Dye Terminator v3.1 and ABI 3100 Avant sequencer were used for sequencing.,convention,annotation/convention,convention: annotation defaults to Sanger; the PDF never mentions it
GPT-4o FT,41112839,5,Number,How many individuals had samples obtained for HIV sequencing?,237,Samples were obtained from 251 individuals for HIV sequencing.,ok,annotation/convention,R6 QID 5 denominator: both 251 and 237 are stated in the paper
GPT-4o FT,41129268,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,"Yes, the paper reports in vitro drug susceptibility data.",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT,41129268,9,List,Which HIV genes were reported to have been sequenced?,"RT, PR, IN","The study focused on sequences relevant to drug resistance, particularly in the context of integrase inhibitors, protease inhibitors, NRTIs, NNRTIs, and integrase inhibitors.",ok,model error,
GPT-4o FT,41130593,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, CAI",NRTIs and INSTIs were received by individuals in the study.,ok,model error,
GPT-4o FT,41130593,16,List,Which drugs were received by individuals in the study before sample sequencing?,"TDF, TAF, FTC, LEN","Specific drugs mentioned include emtricitabine, tenofovir, and dolutegravir, lamivudine.",ok,model error,
GPT-4o FT,41130593,5,Number,How many individuals had samples obtained for HIV sequencing?,64,Samples were obtained from a total of 54 individuals in the PURPOSE 1 and PURPOSE 2 trials.,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,41130593,6,List,From which countries were the sequenced samples obtained?,Not provided (multicenter trial),The paper mentions samples from South Africa and other unspecified countries.,ambiguous,annotation/convention,ambiguous: annotation hedges: 'Not provided (multicenter trial)'
GPT-4o FT,41130593,8,Boolean,Were samples cloned prior to sequencing?,Yes (single genome),"No, samples were not cloned prior to sequencing.",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,41140464,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,The paper does not mention if any sequences were obtained from individuals with virological failure.,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-4o FT,41140464,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,The paper does not specify whether the sequences were from individuals who had previously received ARV drugs.,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-4o FT,41140464,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",The paper does not provide information on the drug classes received by individuals prior to sequencing.,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-4o FT,41140464,7,List,From what years were the sequenced samples obtained?,Not available (deposited 2015-2025),The sequenced samples were obtained from the years 2015 to 2025.,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-4o QSP,18715920,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ok,model error,
GPT-4o QSP,19104010,11,List,What type of samples were sequenced?,Not reported,PBMC,ok,model error,
GPT-4o QSP,19104010,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,ok,model error,
GPT-4o QSP,21115794,9,List,Which HIV genes were reported to have been sequenced?,IN,Not reported,ok,model error,
GPT-4o QSP,23749954,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,23749954,9,List,Which HIV genes were reported to have been sequenced?,RT,Not reported,ok,model error,
GPT-4o QSP,24227862,9,List,Which HIV genes were reported to have been sequenced?,RT,Not reported,ok,model error,
GPT-4o QSP,25637519,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,ok,model error,
GPT-4o QSP,26246578,9,List,Which HIV genes were reported to have been sequenced?,IN,Not reported,ok,model error,
GPT-4o QSP,26559830,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,ok,model error,
GPT-4o QSP,27124362,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ok,model error,
GPT-4o QSP,27124362,9,List,Which HIV genes were reported to have been sequenced?,Not reported,RT,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,30053052,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,30053052,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Tenofovir, Lamivudine",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,30053052,5,Number,How many individuals had samples obtained for HIV sequencing?,51,27,ok,model error,
GPT-4o QSP,30053052,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,ok,model error,
GPT-4o QSP,30803972,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ok,model error,
GPT-4o QSP,31988104,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,31988104,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,14,Yes,unanswerable,annotation/convention,unanswerable: Boolean question annotated '14'
GPT-4o QSP,31988104,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,ok,model error,
GPT-4o QSP,31988104,4,List,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported,K03455,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,32601157,9,List,Which HIV genes were reported to have been sequenced?,IN,Not reported,ok,model error,
GPT-4o QSP,33855437,11,List,What type of samples were sequenced?,Not reported,PBMC,ok,model error,
GPT-4o QSP,33855437,6,List,From which countries were the sequenced samples obtained?,"Canada, Ethiopia",Ethiopia,ok,model error,
GPT-4o QSP,34516245,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ok,model error,
GPT-4o QSP,34516245,10,List,What method was used for sequencing?,Sanger sequencing,Not reported,convention,annotation/convention,convention: annotation defaults to Sanger; the PDF never mentions it
GPT-4o QSP,34516245,11,List,What type of samples were sequenced?,Not reported,Supernatants,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,34516245,8,Boolean,Were samples cloned prior to sequencing?,Yes,Not reported,ok,model error,
GPT-4o QSP,35730213,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,ok,model error,
GPT-4o QSP,35730213,6,List,From which countries were the sequenced samples obtained?,Not reported,Lesotho,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,35913500,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,ok,model error,
GPT-4o QSP,35913500,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,ok,model error,
GPT-4o QSP,35913500,5,Number,How many individuals had samples obtained for HIV sequencing?,51,0,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,35913500,7,List,From what years were the sequenced samples obtained?,2021-2022,Not applicable,ok,model error,
GPT-4o QSP,35913500,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",Not applicable,ok,model error,
GPT-4o QSP,35945163,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
GPT-4o QSP,35945163,11,List,What type of samples were sequenced?,Plasma,Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,35945163,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,35945163,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,35945163,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"INSTI, NNRTI",None,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,35945163,16,List,Which drugs were received by individuals in the study before sample sequencing?,"CAB, RPV",None,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,35945163,5,Number,How many individuals had samples obtained for HIV sequencing?,6,0,ok,model error,
GPT-4o QSP,35945163,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",None,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,36415058,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,ok,model error,
GPT-4o QSP,36415058,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
GPT-4o QSP,36454248,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,36454248,16,List,Which drugs were received by individuals in the study before sample sequencing?,"3TC, TDF, AZT, D4T, ABC, DDI, FTC, EFV, LPV, DRV, NFV, RAL","Lamivudine, zidovudine, lopinavir/r, efavirenz",ok,model error,
GPT-4o QSP,36454248,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,36519389,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI",ok,model error,
GPT-4o QSP,36519389,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"TAF, TDF, FTC, 3TC, EFV",ok,model error,
GPT-4o QSP,36519389,6,List,From which countries were the sequenced samples obtained?,Not reported,"South Africa, Zimbabwe, Malawi, Mozambique",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,36519389,7,List,From what years were the sequenced samples obtained?,Not reported,2022,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,36571282,10,List,What method was used for sequencing?,"Sanger sequencing, NGS",NGS,ok,model error,
GPT-4o QSP,36571282,11,List,What type of samples were sequenced?,Plasma,Not reported,ok,model error,
GPT-4o QSP,36571282,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",IN,ok,model error,
GPT-4o QSP,36597160,16,List,Which drugs were received by individuals in the study before sample sequencing?,"TDF,FTC,EVG",Not reported,ok,model error,
GPT-4o QSP,36597160,5,Number,How many individuals had samples obtained for HIV sequencing?,6,382,ok,annotation/convention,R6 QID 5 denominator: both 382 and 6 are stated in the paper
GPT-4o QSP,36645792,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,36645792,7,List,From what years were the sequenced samples obtained?,Not reported,2020–2021,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,36645792,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",Not reported,ok,model error,
GPT-4o QSP,36659824,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,ok,model error,
GPT-4o QSP,36659824,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",None,ok,model error,
GPT-4o QSP,36659824,16,List,Which drugs were received by individuals in the study before sample sequencing?,"BIC, FTC, TAF",None,ok,model error,
GPT-4o QSP,36659824,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,36659824,5,Number,How many individuals had samples obtained for HIV sequencing?,14,112,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,36659824,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",Not reported,ok,model error,
GPT-4o QSP,36660819,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
GPT-4o QSP,36660819,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,36660819,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NNRTI, INSTI",Not reported,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,36660819,16,List,Which drugs were received by individuals in the study before sample sequencing?,"CAB, RPV",Not reported,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,36660819,5,Number,How many individuals had samples obtained for HIV sequencing?,8 and 10,0,ambiguous,annotation/convention,ambiguous: annotation hedges: '8 and 10'
GPT-4o QSP,36660819,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",Not reported,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,36694270,11,List,What type of samples were sequenced?,"Plasma, CSF",Not reported,ok,model error,
GPT-4o QSP,36694270,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, PI, NNRTI, INSTI",NRTIs,ok,model error,
GPT-4o QSP,36694270,16,List,Which drugs were received by individuals in the study before sample sequencing?,"3TC, TDF, EFV, LPV/r, EVG, ABC, DTG",Not reported,ok,model error,
GPT-4o QSP,36706364,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
GPT-4o QSP,36706364,11,List,What type of samples were sequenced?,Plasma,Not reported,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,36706364,16,List,Which drugs were received by individuals in the study before sample sequencing?,"TDF, 3TC, FTC, EFV, NVP, DTG","Tenofovir, Efavirenz",ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,36706364,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",Not reported,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,36738248,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,36738248,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,ok,model error,
GPT-4o QSP,36779485,16,List,Which drugs were received by individuals in the study before sample sequencing?,RPV,Not reported,ok,model error,
GPT-4o QSP,36851704,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,36851704,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",Not reported,ok,model error,
GPT-4o QSP,36851704,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,36931676,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
GPT-4o QSP,36931676,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,Not reported,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,36931676,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",Not reported,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,36931676,16,List,Which drugs were received by individuals in the study before sample sequencing?,DTG,Not reported,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,36931676,7,List,From what years were the sequenced samples obtained?,Not reported,2003–2022,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,36931676,9,List,Which HIV genes were reported to have been sequenced?,RT,Not reported,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,36961945,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,NRTI,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,36961945,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"lamivudine (3TC), emtricitabine (FTC)",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,36967989,9,List,Which HIV genes were reported to have been sequenced?,PR,None,ok,model error,
GPT-4o QSP,36982978,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,37017009,10,List,What method was used for sequencing?,"Sanger sequencing, Illumina sequencing",NGS,ok,model error,
GPT-4o QSP,37017009,16,List,Which drugs were received by individuals in the study before sample sequencing?,"LPV, ATV, EFV, NVP, 3TC, ABC, AZT, FTC, D4T, TDF","Ritonavir-boosted lopinavir, Efavirenz",ok,model error,
GPT-4o QSP,37017009,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,37029656,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,37029656,9,List,Which HIV genes were reported to have been sequenced?,IN,Not reported,ok,model error,
GPT-4o QSP,37039023,11,List,What type of samples were sequenced?,PBMC,Whole blood,ok,model error,
GPT-4o QSP,37039023,9,List,Which HIV genes were reported to have been sequenced?,NFLG,"PR, RT, IN, Env",ok,model error,
GPT-4o QSP,37052343,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ok,model error,
GPT-4o QSP,37052343,11,List,What type of samples were sequenced?,Not reported,Plasma,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,37052343,5,Number,How many individuals had samples obtained for HIV sequencing?,0,4310,ok,model error,
GPT-4o QSP,37052343,7,List,From what years were the sequenced samples obtained?,Not reported,2014–2020,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,37071019,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ok,model error,
GPT-4o QSP,37071019,10,List,What method was used for sequencing?,Sanger sequencing,Not reported,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,37071019,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,37071019,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,ok,model error,
GPT-4o QSP,37071019,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,37071019,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,INSTIs,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,37071019,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,Dolutegravir (DTG),ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,37071019,5,Number,How many individuals had samples obtained for HIV sequencing?,0,3,ok,model error,
GPT-4o QSP,37071019,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,37085698,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,37104815,10,List,What method was used for sequencing?,"Sanger sequencing, Illumina sequencing",NGS,ok,model error,
GPT-4o QSP,37104815,11,List,What type of samples were sequenced?,"Whole Blood, Semen",Plasma,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,37104815,6,List,From which countries were the sequenced samples obtained?,France,Sub-Saharan Africa,ok,model error,
GPT-4o QSP,37147875,10,List,What method was used for sequencing?,"Sanger sequencing, Illumina sequencing",NGS,ok,model error,
GPT-4o QSP,37272233,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,37272233,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,37272233,9,List,Which HIV genes were reported to have been sequenced?,"PR, RT, IN","NRTI, NNRTI, PI, INSTI",ok,model error,
GPT-4o QSP,37279764,11,List,What type of samples were sequenced?,Not reported,Blood,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,37340869,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NNRTI, INSTI",Not reported,ok,model error,
GPT-4o QSP,37340869,16,List,Which drugs were received by individuals in the study before sample sequencing?,"CAB, RPV",Not reported,ok,model error,
GPT-4o QSP,37340869,6,List,From which countries were the sequenced samples obtained?,Not reported,Russia,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,37340869,9,List,Which HIV genes were reported to have been sequenced?,RT,Not reported,ok,model error,
GPT-4o QSP,37358226,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTIs, NNRTIs",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,37358226,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Efavirenz, Nevirapine, Abacavir, Zidovudine, Tenofovir, Lamivudine",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,37358226,6,List,From which countries were the sequenced samples obtained?,Not reported,Lesotho,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,37376649,11,List,What type of samples were sequenced?,PBMC,Whole blood,ambiguous,annotation/convention,ambiguous: paper says whole blood was used for the GenoSure Archive assay; annotation says PBMC
GPT-4o QSP,37376649,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,ok,model error,
GPT-4o QSP,37376649,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",None,ok,model error,
GPT-4o QSP,37376649,16,List,Which drugs were received by individuals in the study before sample sequencing?,"Lamivudine (3TC), Tenofovir (TAF), Dolutegravir (DTG)",None,ok,model error,
GPT-4o QSP,37381002,10,List,What method was used for sequencing?,"Sanger sequencing, Illumina sequencing",Sanger sequencing,ok,model error,
GPT-4o QSP,37439411,11,List,What type of samples were sequenced?,Plasma,Not reported,ok,model error,
GPT-4o QSP,37439411,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,37495103,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI","NRTI, NNRTI",ok,model error,
GPT-4o QSP,37495103,16,List,Which drugs were received by individuals in the study before sample sequencing?,"TDF, FTC, EFV, ABC, 3TC, DTG, LPV, Elsulfavirine, RAL, DRV, AZT","Tenofovir (TDF), Lamivudine (3TC), Efavirenz (EFV), Abacavir (ABC), Dolutegravir (DTG)",ok,model error,
GPT-4o QSP,37498738,10,List,What method was used for sequencing?,"Sanger sequencing, Illumina sequencing",NGS,ok,model error,
GPT-4o QSP,37498738,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,ok,model error,
GPT-4o QSP,37498738,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",Not reported,ok,model error,
GPT-4o QSP,37498738,16,List,Which drugs were received by individuals in the study before sample sequencing?,DTG,Not reported,ok,model error,
GPT-4o QSP,37498738,9,List,Which HIV genes were reported to have been sequenced?,NFLG,"Gag, Pol, Env",ok,model error,
GPT-4o QSP,37515095,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-4o QSP,37515095,16,List,Which drugs were received by individuals in the study before sample sequencing?,"3TC, ABC, AZT, D4T, DDI, FTC, TDF, ETR, EFV, NVP, RPV","AZT, DDI, D4T, 3TC, ABC, TDF, FTC",ok,model error,
GPT-4o QSP,37515095,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,37515146,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,37520425,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,ok,model error,
GPT-4o QSP,37520425,15,List,Which drug classes were received by individuals in the study before sample sequencing?,INSTI,None,ok,model error,
GPT-4o QSP,37520425,16,List,Which drugs were received by individuals in the study before sample sequencing?,DTG,None,ok,model error,
GPT-4o QSP,37520425,5,Number,How many individuals had samples obtained for HIV sequencing?,25 or 30,14,ambiguous,annotation/convention,ambiguous: annotation hedges: '25 or 30'
