PMID,QID,Type,Question,Human Answer,Model Answer,Outcome,GPT-4o FT Answer,GPT-4o FT Correct,Evidence,EvidenceLocation,Rationale,Model,failure_mode,annotation_error,notes
40872801,11,List,What type of samples were sequenced?,Plasma,Not applicable,FN_missed,The paper does not specify the type of clinical samples sequenced.,0,"“A systematic literature review was conducted from February to May 2025 following PRISMA standards [11], including original studies that were conducted in Tanzania involving participants receiving ART published in English by the end of December 2024.” “A standardized data extraction form created in Microsoft Excel was used to systematically record information from the studies included.”",main_text,"This is secondary analysis of published studies, with no newly sequenced clinical specimens. The specimen-type question is therefore not applicable.",GPT-6 Astra QSP,,,
40872801,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,Not applicable,FN_missed,"Yes, the paper reports sequences obtained from individuals with virological failure on a treatment regimen.",1,"“Some studies followed participants longitudinally, assessing virological failure as well as DRMs prevalence, and other studies enrolled participants who already had virological failure.” “This review reports a high pooled prevalence of acquired DRMs (87.61%) among individuals with virological failure on ART whose samples were successfully genotyped.”",main_text,"Virological failure and genotyping concern participants in the source studies. Because this review does not generate new clinical sequences, the explicit Question 12 applicability rule requires Not applicable.",GPT-6 Astra QSP,,,
40872801,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,FN_missed,"Yes, the paper reports HIV sequences from individuals who had previously received ARV drugs.",1,"“All included studies were observational studies, including a total of 9685 participants on ART, whereby 6677 (68.94%) were women.” “A standardized data extraction form created in Microsoft Excel was used to systematically record information from the studies included.”",main_text,"Although the source studies involved ART-experienced individuals, this review generates no new patient sequences. The explicit rule for papers without qualifying clinical sequences requires No.",GPT-6 Astra QSP,,,
40872801,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI",None,FN_missed,"The individuals in the study received NRTIs, NNRTIs, PIs, and INSTIs before sample sequencing.",1,"“A standardized data extraction form created in Microsoft Excel was used to systematically record information from the studies included.” “All included studies were observational studies, including a total of 9685 participants on ART, whereby 6677 (68.94%) were women.”",main_text,"Treatment information concerns previously published cohorts rather than individuals newly sequenced for this paper. Under the no-clinical-sequences rule, the answer is None; this does not imply the source-study participants were untreated.",GPT-6 Astra QSP,,,
40872801,6,List,From which countries were the sequenced samples obtained?,Tanzania,Not applicable,FN_missed,The sequenced samples were obtained from Tanzania.,1,"“A systematic literature review was conducted from February to May 2025 following PRISMA standards [11], including original studies that were conducted in Tanzania involving participants receiving ART published in English by the end of December 2024.” “A standardized data extraction form created in Microsoft Excel was used to systematically record information from the studies included.”",main_text,"Tanzania is the setting of the reviewed studies, not a sample-collection site for new sequencing in this paper. Because Question 1 is No, the prescribed answer is Not applicable.",GPT-6 Astra QSP,,,
40872801,7,List,From what years were the sequenced samples obtained?,2004-2021,Not applicable,FN_missed,"The sequenced samples were obtained from studies published up to 2024, covering various years including 2005-2021.",0,"“A standardized data extraction form created in Microsoft Excel was used to systematically record information from the studies included.” “The following study characteristics were recorded from each of the included studies: author(s), title of the study, publication year, database used for genotyping, and the year of the study as described by authors (sampling year).”",main_text,"Sampling years in Table 1 refer to the original studies. No clinical samples were newly sequenced for this review, so sample-collection years are not applicable.",GPT-6 Astra QSP,,,
40872801,9,List,Which HIV genes were reported to have been sequenced?,"RT, PR",Not applicable,FN_missed,The paper reports sequencing of the RT and integrase gene.,0,"“A standardized data extraction form created in Microsoft Excel was used to systematically record information from the studies included.” “Outcomes that were recorded were the overall and specific prevalence of drug resistance mutations against Nucleotide/Nucleoside Reverse Transcriptase Inhibitors (NRTIs), Non-Nucleoside Reverse Transcriptase Inhibitors (NNRTIs), Protease Inhibitors (PIs), Integrase Strand-Transfer Inhibitors (INSTIs), and HIV-1 subtypes that were reported.”",main_text,"The review summarizes resistance involving RT, PR, and IN from prior publications, but reports no newly sequenced gene targets of its own.",GPT-6 Astra QSP,,,
40938120,5,Number,How many individuals had samples obtained for HIV sequencing?,1048,1260,FN_wrong_value,"Samples were obtained from 1,260 individuals.",0,"“In this study, we enrolled 1,260 newly diagnosed HIV-infected individuals.” “Among them, 1,159 pol gene sequences were successfully amplified.” “Venous blood samples (10 mL) were collected from each participant.”",main_text,"Samples were obtained from all 1,260 enrolled individuals for the sequencing workflow (pages 2 and 12). Of these, 1,159 yielded successfully amplified sequences and 1,048 were included in the final analysis, as also shown in Figure 1 on page 3.",GPT-6 Astra QSP,,,
40938996,8,Boolean,Were samples cloned prior to sequencing?,Yes  ,Not applicable,FN_missed,Yes,1,"“The full-length HIV-1 molecular clones pNL4-3 (87), pCH185 (88), and pCH077 (89) were used in this study.” “The PCR amplicon was purified and cloned into pCR-Blunt II-TOPO vector (Thermo Fisher Scientific) per the manufacturer’s instructions.”",main_text,"Cloning is described for laboratory sequencing experiments (pages 11–12), but no HIV sequences came directly from individuals with HIV. The question's applicability rule therefore requires Not applicable, despite the laboratory cloning and susceptibility testing.",GPT-6 Astra QSP,,,
40938996,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN, NC, Env","PR, RT, IN, CA, Env",FN_wrong_value,"Env, NC, IN",1,"“At the time points indicated by the arrows, genomic DNA was extracted from the drug-treated cultures, and the Gag-Pol and Env-Nef coding regions were sequenced.” “Mutations detected at frequencies greater than 25% in the bulk sequencing are shown.”",figure,"Figure 5's legend (page 9) identifies sequencing across Gag-Pol and Env-Nef. Among the requested targets, these regions encompass CA within Gag, PR/RT/IN within Pol, and Env. These were laboratory-derived sequences, not clinical sequences.",GPT-6 Astra QSP,,,
40965168,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,FP,"Yes, the paper reports HIV-1 sequences from patient plasma samples.",0,"“Patient plasma samples were obtained from studies GS-US-380-1490, GS-US-292-0104, GS-US-200-4334, and GS-US-200-4625.” “The initial determination of sample subtype based on pol sequencing was confirmed for 22 of the 24 samples based on capsid sequences using the Rega Subtyping Tool 3.0 or a proprietary BLAST method.”",main_text,"The Clinical samples and Results sections (pages 2–4) describe new sequencing of cloned HIV material derived from patient plasma, not exclusively laboratory strains or previously published sequences.",GPT-6 Astra QSP,,,
40965168,11,List,What type of samples were sequenced?,Not applicable,Plasma,FP,The paper sequenced viral supernatants obtained from patient isolates.,0,"“Patient plasma samples were obtained from studies GS-US-380-1490, GS-US-292-0104, GS-US-200-4334, and GS-US-200-4625.” “The plasma samples were from participants who were treatment naive to the capsid inhibitor class, had diverse HIV-1 subtypes (A, A1, AE, AG, B, C, D, F1, G, H), and had HIV-1 RNA ranging from 3130 to 647000 copies/ml.”",main_text,The Clinical samples section (page 2) explicitly identifies plasma as the original patient specimen. Subsequent sequencing of cultured derivatives does not change that clinical specimen classification.,GPT-6 Astra QSP,,,
40965168,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,FP,"Yes, the paper mentions that the patient plasma samples were obtained from clinical studies.",0,"“Patient plasma samples were obtained from studies GS-US-380-1490, GS-US-292-0104, GS-US-200-4334, and GS-US-200-4625.” “HIV-1 subtype determination was based on the baseline protease/reverse transcriptase sequence of the participants that was analyzed prior to enrollment in the respective studies.”",main_text,"The clinical specimens came from participants enrolled in four named Gilead clinical studies (page 2), supporting clinical-trial participation. This article itself reports a laboratory investigation and does not describe the parent trials' phases or allocation procedures.",GPT-6 Astra QSP,,,
40965168,5,Number,How many individuals had samples obtained for HIV sequencing?,0,24,FP,The paper involved 24 patient samples for HIV sequencing.,0,"“Twenty-four clinical isolates with non-B or B HIV-1 subtype were assessed for their in vitro susceptibility to LEN and their potential to develop resistance to LEN in viral breakthrough experiments.” “The gag-protease DNA fragment from a total of 24 patient samples was cloned into pXXLAI, including 15 samples with non-B HIV-1 subtype (HIV-1 subtypes A1=1, AE=2, AG=3, C=1, D=3, F1=2, G=2, H=1) and nine with HIV-1 B subtype.”",main_text,The abstract and Results (pages 1 and 3) identify 24 patient samples. Applying the stipulated one-isolate-per-individual assumption gives 24 individuals; the additional laboratory control is excluded.,GPT-6 Astra QSP,,,
40974886,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",NRTIs; INSTIs,FN_wrong_value,"NRTI, NNRTI, PI, and INSTI were received before sample sequencing.",1,"""Genotyping of protease, reverse transcriptase, and integrase from 3 bictegravir/emtricitabine/tenofovir alafenamide switch studies was included."" ""Baseline and Week 24 samples were available from study GS-US-380-4580; one participant from study GS-US-380-4449 participated in a previous study (GS-US-292-1826) and samples from both studies were included.""",main_text,"The analysis includes post-switch Week 24 samples, supporting exposure to bictegravir (INSTI) and emtricitabine/tenofovir alafenamide (NRTIs) before those samples. Earlier individual regimens are not detailed; resistance to NNRTIs or PIs alone does not establish receipt of those classes.",GPT-6 Astra QSP,,,
40974886,5,Number,How many individuals had samples obtained for HIV sequencing?,223,Not reported,FN_missed,241 individuals had samples obtained for HIV sequencing.,0,"""Overall, 241 participants (35 from GS-US-380-4449, 93 from GS-US-380-4030, and 113 from GS-US-380-4580) were included, with genotype reports collected from March 1997 to March 2019."" ""Overall, from 70 participants (12 from GS-US-380-4449, 39 from GS-US-380-4030, and 19 from GS-US-380-4580), 90 whole blood samples from October 2016 to July 2019 were analyzed.""",main_text,"Sections 3.1.1 and 3.2.1 report 241 individuals in the longitudinal analysis and 70 in repeat testing. Both groups come from the same trials, but their overlap is not specified; therefore, an exact overall unique count cannot be determined and the groups should not simply be summed.",GPT-6 Astra QSP,,,
41004608,9,List,Which HIV genes were reported to have been sequenced?,Whole genome,"PR, RT, IN, CA, Env",FN_wrong_value,"The paper reports sequencing of the entire HIV genome, including nonintegrase genes.",0,"“The complete genomic sequencing of HIV was performed using a previously described sequence capture method and the short read data were assembled into consensus whole genomes using Genomancer, an in-house viral genome assembly pipeline [20].” “Consensus sequences derived at 30× depth and 20% variant frequency threshold were aligned against the HXB2 reference sequence using MAFFT, and mutations of interest were then identified either within the aligned 3′PPT nucleotide sequence or translated Env or NC amino acid sequence as appropriate [21].”",main_text,"Pages 2–3 describe complete HIV genome sequencing, encompassing PR, RT, IN, CA, and Env. PR, RT, and IN resistance results are also reported on page 5; CA is included by whole-genome coverage, not because capsid-inhibitor resistance was specifically assessed. NC and 3′PPT were additionally analyzed but are outside the requested gene abbreviations.",GPT-6 Astra QSP,,,
41012586,11,List,What type of samples were sequenced?,Plasma (presumably),Plasma,FN_wrong_value,The paper does not specify the type of samples sequenced.,0,"""At baseline, the 4DR-PWHs in virological suppression (viremia < 50 copies/mL) were 23 (9.2%)."" ""Among the 249 PWH included in the study, 62 had no documented INSTI resistance but experienced virological failure while on an INSTI-based regimen: 49 with raltegravir, 4 with elvitegravir, and 9 with dolutegravir.""",main_text,Plasma is inferred under the supplied rule for genotyping in treatment-experienced patients with virological failure. The article does not explicitly identify the sequencing specimen; baseline suppression in a minority does not establish that PBMCs were sequenced.,GPT-6 Astra QSP,,,
41023944,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI,NNRTI,INSTI",INSTIs,FN_wrong_value,"Individuals received NRTIs, NNRTIs, and PIs before sample sequencing.",0,"“Only individuals on DTG-containing regimens at the time of resistance testing were included in this analysis.” “Among these agents, dolutegravir (DTG) has become the preferred option for first-line ART globally, supported by robust evidence of efficacy, safety, and low rates of treatment-emergent resistance [2].”",main_text,"Dolutegravir establishes INSTI exposure. Although NRTI, NNRTI, and PI resistance testing is reported, the article does not explicitly identify those classes as drugs received by this cohort or specify the accompanying and previous regimens; resistance testing alone does not establish exposure.",GPT-6 Astra QSP,,,
41056006,10,List,What method was used for sequencing?,Sanger,Not reported,FN_missed,The paper does not specify the exact sequencing method used.,0,“HIV-1 capsid genotypic and phenotypic data were assessed at study entry using the GenoSure Gag-Pro and PhenoSense Gag-Pro assays (Monogram Biosciences).” “Full methodologic details for CALIBRATE have been reported previously.”,main_text,"The article names the genotyping assay but does not explicitly identify Sanger sequencing, NGS, sequencing instruments, reagents, or read-generation procedures (pages 3–4).",GPT-6 Astra QSP,,,
41056006,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,FP,"No, the paper does not report in vitro drug susceptibility data.",1,“Emergence of LEN resistance was an exploratory endpoint.” “HIV-1 capsid genotypic and phenotypic data were assessed at study entry using the GenoSure Gag-Pro and PhenoSense Gag-Pro assays (Monogram Biosciences).”,main_text,"The Methods explicitly state that phenotypic testing was performed using PhenoSense Gag-Pro (page 4), meeting the specified criterion even though numerical susceptibility results are not provided in the attached main article.",GPT-6 Astra QSP,,,
41056006,5,Number,How many individuals had samples obtained for HIV sequencing?,10,182,FN_wrong_value,"182 participants received at least one dose of study drug, and those who met virologic failure criteria were included in the resistance analysis population.",0,"“HIV-1 capsid genotypic and phenotypic data were assessed at study entry using the GenoSure Gag-Pro and PhenoSense Gag-Pro assays (Monogram Biosciences).” “No LEN resistance-associated mutations (RAMs) were detected in baseline samples.” “Of the 182 participants enrolled and dosed, 10 (6%) met virologic failure criteria and were included in the RAP (TG1, n = 3; TG2, n = 2; TG3, n = 4; TG4, n = 1).”",main_text,Study-entry genotyping is described for the study population of 182 dosed participants (pages 4 and 6). Ten of these participants underwent additional resistance evaluation after meeting failure criteria; they are not additional individuals. The number of successful baseline genotypes is not separately tabulated.,GPT-6 Astra QSP,,,
41056006,6,List,From which countries were the sequenced samples obtained?,Not provided (multicenter trial),United States; Dominican Republic,FP,The sequenced samples were obtained from the USA and the Dominican Republic.,0,"“CALIBRATE was a Phase 2, randomized, open-label, active-controlled, multicenter study.” “Treatment-naïve PWH were enrolled across 41 sites in the USA and Dominican Republic (study design presented in Fig. 1).”",main_text,The clinical sampling population was recruited at sites in the United States and Dominican Republic (page 3).,GPT-6 Astra QSP,,,
41057785,10,List,What method was used for sequencing?,Sanger (not stated),Not reported,FN_missed,The paper does not specify the method used for sequencing.,0,"“This cohort study retrospectively reviewed medical records of People living with HIV-1 who underwent HIV drug resistance testing at the Mildmay Uganda Hospital (MUgH) from 2018 to 2023.” “Data were collected from April to June 2024, including HIV DRM results, socio-demographic, and medical history from ART registers, patient cards, Electronic Medical Records (EMR), and the National HIVDR database [12].”",main_text,"The Methods describe abstraction of clinical resistance results but do not identify a sequencing platform, commercial genotyping assay, Sanger method, or NGS method.",GPT-6 Astra QSP,,,
41088231,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,FP,"No, sequences were not obtained from individuals with virological failure on a treatment regimen.",1,"“The patient 230794 obtained successful viral suppression with plasma viral load below the detection limit in 2025, therefore, we chose to harvest viral DNA from the whole blood sample.” “These findings suggested that the presence of the mutation L74I may not affect the efficacy of bictegravir, emtricitabine and tenofovir alafenamide (BIC + FTC + TAF) combination treatment.”",main_text,Yes under the supplied operational rule that includes sequences generated after receipt of NRTIs or INSTIs: the 2025 DNA sequences were obtained after ART exposure. Actual virological failure is not reported; the patient was successfully suppressed.,GPT-6 Astra QSP,,,
41088231,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?, No,Yes,FP,"No, the paper does not report sequences from individuals who had previously received ARV drugs.",1,"“The patient 230794 obtained successful viral suppression with plasma viral load below the detection limit in 2025, therefore, we chose to harvest viral DNA from the whole blood sample.” “By comparing the genetic sequences obtained in 2023 and 2025, it was found that they were largely genetically similar, without obvious difference in the recombination forms.”",main_text,"The initial 2023 specimen was obtained while ART-naïve, but the same patient was sequenced again in 2025 after receiving ART and achieving suppression.",GPT-6 Astra QSP,,,
41088231,15,List,Which drug classes were received by individuals in the study before sample sequencing?,None,"NRTIs, INSTIs",FP,The individuals in the study had not received any drugs before sample sequencing.,1,"“These findings suggested that the presence of the mutation L74I may not affect the efficacy of bictegravir, emtricitabine and tenofovir alafenamide (BIC + FTC + TAF) combination treatment.” “The patient 230794 obtained successful viral suppression with plasma viral load below the detection limit in 2025, therefore, we chose to harvest viral DNA from the whole blood sample.”",main_text,"Before the 2025 specimen was collected, the patient received bictegravir, an INSTI, and emtricitabine and tenofovir alafenamide, both NRTIs. No other patient treatment classes are documented.",GPT-6 Astra QSP,,,
41088231,16,List,Which drugs were received by individuals in the study before sample sequencing?,None,"Bictegravir (BIC), emtricitabine (FTC), tenofovir alafenamide (TAF)",FP,The individuals in the study had not received any drugs before sample sequencing.,1,"“These findings suggested that the presence of the mutation L74I may not affect the efficacy of bictegravir, emtricitabine and tenofovir alafenamide (BIC + FTC + TAF) combination treatment.” “The patient 230794 obtained successful viral suppression with plasma viral load below the detection limit in 2025, therefore, we chose to harvest viral DNA from the whole blood sample.”",main_text,The Discussion on page 7 identifies the patient's regimen before the follow-up whole-blood specimen was sequenced.,GPT-6 Astra QSP,,,
41088231,8,Boolean,Were samples cloned prior to sequencing?,Yes,Not applicable,FN_missed,"No, samples were not cloned prior to sequencing.",0,"“Two overlapping halves of the HIV-1 genome were subsequently amplified by nested polymerase chain reaction (PCR) by utilizing LA Taq (TaKaRa, China) with a near endpoint dilution method as described previously [19].” “Whether L74I in CRF02_AG affects INSTI resistance can be confirmed through additional in vitro resistance experiments.”",main_text,"Although endpoint dilution and single-genome amplification were used, the question's applicability rule requires in vitro susceptibility data. None are reported, so the answer is Not applicable.",GPT-6 Astra QSP,,,
41088231,9,List,Which HIV genes were reported to have been sequenced?,Whole genome,"PR, RT, IN, CA, Env",FN_wrong_value,"The sequenced genes include the near full-length genome (NFLG), specifically mentioning regions of vif and env genes, and the pol gene.",0,"“The NFLG sequence of 230794, which was 8260 nucleotides (nt) in length, was obtained and submitted to GenBank (accession number PV187006).” “The HIVdb program from the Stanford HIV Drug Resistance Database (https://hivdb.stanford.edu/hivdb/by-sequences/) was used to analyse the protease inhibitors (PIs), nucleoside reverse-transcription inhibitors (NRTIs), non-nucleoside reverse-transcription inhibitors (NNRTIs), integrase strand transfer inhibitors (INSTIs) and drug resistance mutations (DRMs).” “The V3-loop sequence of the NFLG was obtained using the GeneCutter tool.”",main_text,"The near-full-length genome encompasses gag, including CA, the PR/RT/IN regions of pol, and Env, as supported by the genome map in Figure 1 on page 4. PR, RT, IN and Env are also specifically supported by the resistance and tropism analyses on page 3.",GPT-6 Astra QSP,,,
41091504,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,FP,"No, the paper does not report in vitro drug susceptibility data.",1,"“The number of mutations in a given variant ranged from 0 in wildtype up to 24 mutations, and the experimental enzyme inhibition constant (Ki) values ranged from picomolar to micromolar (Figure 2A and Table S3).” “The experimental potency values (Figure 2A and Table S3) were converted from Ki to ΔG using the equation”.",main_text,"Sections 2.1.4 and 2.3.3 report experimental darunavir inhibition constants for HIV-1 protease variants, which are quantitative biochemical susceptibility measures. These are reused published measurements, not newly performed whole-virus phenotypic assays; Figure 2A presents binding energies calculated from them.",GPT-6 Astra QSP,,,
41091504,8,Boolean,Were samples cloned prior to sequencing?,Yes (site-directed mutants),Not applicable,FN_missed,The paper does not mention whether samples were cloned prior to sequencing.,0,“The remaining 18 HIV-1 protease-DRV complexes were homology modeled using Schrodinger Prime.” “In total there were 28 HIV-1 protease variant-DRV complexes (Figure 2A) that were prepared for system building and MD simulations.”,main_text,"Sections 2.1.3–2.1.4 describe computational structure preparation rather than clinical-sample sequencing. Because Question 1 is No, the required answer is Not applicable.",GPT-6 Astra QSP,,,
41093949,10,List,What method was used for sequencing?,Not stated,Sanger sequencing,FP,Sanger sequencing was used.,0,"“Positive clones were picked and amplified in LB broth containing ampicillin, followed by Sanger sequencing (by SinoGenoMax).” “The wild-type and drug-resistant plasmids were stored in a freezer at -20 °C in preparation for packaging the corresponding virus.”",main_text,Methods (pages 2–3) explicitly identify Sanger sequencing of the laboratory clones.,GPT-6 Astra QSP,,,
41093949,8,Boolean,Were samples cloned prior to sequencing?,Yes,Not applicable,FN_missed,"Yes, samples were cloned prior to sequencing.",1,"“Site-directed mutagenesis containing resistance sites was performed on HIV-1 pNL4-3 and pGX002 using the Q5® Site-Directed Mutagenesis Kit (NEB, Cat. No. E0554S) in accordance with the manufacturer’s instructions.” “Positive clones were picked and amplified in LB broth containing ampicillin, followed by Sanger sequencing (by SinoGenoMax).”",main_text,"Although laboratory clones were sequenced (Methods, page 2), the question's applicability rule requires new patient-derived sequences. None were reported.",GPT-6 Astra QSP,,,
41129268,5,Number,How many individuals had samples obtained for HIV sequencing?,333,428,FN_wrong_value,Samples were obtained from 333 individuals for HIV sequencing.,1,"“A total of 428 (66.0%) samples were retrieved from the sample biorepository and sent to the HIVDR lab for testing; 128 (19.8%) did not meet the Sanger testing criteria due to low sample volume or other factors.” “Of the 428 samples referred for HIVDR testing, 333 (77.8%) samples were successfully tested while 95 (22.2%) samples failed to amplify.”",main_text,"Results (page 8) identify 428 samples obtained and submitted for genotyping. Assuming one sample per individual, 428 individuals contributed samples for attempted sequencing; only 333 yielded successful genotypes.",GPT-6 Astra QSP,,,
41130593,5,Number,How many individuals had samples obtained for HIV sequencing?,64,77,FN_wrong_value,Samples were obtained from a total of 54 individuals in the PURPOSE 1 and PURPOSE 2 trials.,0,"“Non–study drug resistance was detected in 20 of the 60 P1 participants tested for resistance.” “Non–study drug resistance was detected in two of 17 participants from P2 and included the NNRTI resistance-associated substitution K103N (n=2) and the protease inhibitor resistance-associated substitution V82L in PR (n=1; Table 2, Supplementary Table 4).”",main_text,"Pages 5–6 report 60 PURPOSE 1 participants and 17 PURPOSE 2 participants tested for resistance, totaling 77. This includes incident and unrecognized baseline infections and counts individuals tested even where assays failed. Table 1 corroborates 53 and 11 incident cases tested, supplemented by seven and six baseline cases, respectively.",GPT-6 Astra QSP,,,
41130593,6,List,From which countries were the sequenced samples obtained?,Not provided (multicenter trial),South Africa,FP,The paper mentions samples from South Africa and other unspecified countries.,0,“The LEN resistance-associated mutation K70R was also detected in one South African participant with a subtype C virus and no exposure to LEN.” “This is likely a rare polymorphism.”,main_text,"Page 5 identifies a sequenced participant as South African, supporting South Africa as a sample origin. The supplied article does not enumerate the other recruitment countries; laboratory locations and author affiliations are not treated as sample origins.",GPT-6 Astra QSP,,,
41130593,7,List,From what years were the sequenced samples obtained?,Not provided,2021–2023,FP,The specific years from which samples were obtained are not provided in the paper.,1,“aAugust 2021–September 2023; bJune 2021–December 2023; cTwo participants were not included in the RAP due to VL <200 copies/mL or withdrawn consent.”,figure,Figure 3 on page 18 gives the PURPOSE 1 and PURPOSE 2 efficacy-population date ranges as 2021–2023. These provide the baseline/enrollment years for the populations undergoing resistance testing; calendar dates for subsequent individual follow-up samples are not separately specified.,GPT-6 Astra QSP,,,
41130593,8,Boolean,Were samples cloned prior to sequencing?,Yes (single genome),Not applicable,FN_missed,"No, samples were not cloned prior to sequencing.",0,"“Phenotyping of the clinical isolates in the PURPOSE trials was not attempted; no susceptibility data were available.” “Genotypic CA resistance testing at Monogram was conducted using a next-generation sequencing platform (MiSeq; Illumina), with reporting of mutants present in ≥10% of sequences obtained for a given sample.”",main_text,"Although clinical genotyping was performed, the study reports no in vitro susceptibility data. The question's applicability rule therefore requires Not applicable.",GPT-6 Astra QSP,,,
41140464,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,Not applicable,FN_missed,The paper does not mention if any sequences were obtained from individuals with virological failure.,0,"“A significant limitation of this study is its reliance on public databases, which capture only a fraction of available HIV-1 sequence data and are subjected to sampling biases.” “Many of the sequences were generated as part of research studies that often target specific subpopulations, such as individuals experiencing ART failure or those participating in clinical trials.”",main_text,"The Limitations section (page 7) discusses possible biases in previously generated database sequences. Because this paper did not generate new patient sequences, the required answer is Not applicable rather than an inference from possible source-study populations.",GPT-6 Astra QSP,,,
41140464,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,FN_missed,The paper does not specify whether the sequences were from individuals who had previously received ARV drugs.,0,"“This study employed a meta-analysis approach to evaluate the subtype distribution, diversity and drug resistance of the HIV-1 pol gene across EA.” “Data on HIV-1 pol gene sequences were retrieved from public database.”",main_text,"No new sequences were generated from individuals with HIV. Under the specified exclusion rule, this requires No, irrespective of possible ARV exposure among individuals represented in the source database.",GPT-6 Astra QSP,,,
41140464,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",None,FN_missed,The paper does not provide information on the drug classes received by individuals prior to sequencing.,0,"“Data on HIV-1 pol gene sequences were retrieved from public database.” “Using appertaining software, the sequences were analyzed for assessment of DRMs in the pol gene enzymes (PR, RT, and IN).”",main_text,"This database-only analysis does not report newly sequenced clinical samples, so the required answer is None. Drug classes assessed computationally for resistance do not establish individual treatment histories.",GPT-6 Astra QSP,,,
41140464,6,List,From which countries were the sequenced samples obtained?,Tanzania,Not applicable,FN_missed,"The sequenced samples were obtained from Kenya, Uganda, Tanzania, and Ethiopia.",1,"“Data on HIV-1 pol gene sequences were retrieved from public database.” “The sequences were sourced from four EA countries: Kenya, Uganda, Tanzania, and Ethiopia.”",main_text,"Sections 2.1 and 3.1 (pages 2–3) identify the origins of existing database sequences, also summarized in Table 1 (page 4). Because no new patient-derived sequences were generated, the question's exclusion rule requires Not applicable.",GPT-6 Astra QSP,,,
21115794,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,FP,No,1,The integrase region of HIV proviral DNA was amplified by PCR with specific primers. ... The products were sequenced by Operon Biotechnologies' sequencing service.,main_text,Direct sequencing of PCR products through a commercial sequencing service (Operon) is consistent with population-based Sanger (dideoxy) sequencing; no next-generation sequencing platform is mentioned.,Kimi K3 QSP,,,
26311878,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,FP,No,1,"Viral RNA was extracted from the aliquots by using an RNA extraction kit (Qiagen) and amplified by RT-PCR (Life Technologies), as previously described (13). The PCR products were then sequenced to detect the emergence of drug resistance mutations.",main_text,"Direct sequencing of PCR products (population-based sequencing without cloning) is described, which corresponds to Sanger sequencing per the rules; no NGS platform is mentioned.",Kimi K3 QSP,,,
26311878,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,FP,No,1,"CBMCs were infected with NL4.3 virus ... grown in the presence of increasing concentrations of RAL or EVG. ... The PCR products were then sequenced to detect the emergence of drug resistance mutations. ... pNL4-3IN(T66I), pNL4-3IN(R263K) ... were produced by using site-directed mutagenesis.",main_text,"All sequencing and mutagenesis in the study targeted the integrase (IN) gene, and INSTI resistance was assessed; per the rules, INSTI resistance assessment implies IN.",Kimi K3 QSP,,,
27009474,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,FN_missed,Yes,1,"A baseline genotypic resistance test revealed... The patient was started on the once daily INSTI-containing fixed-dose combination tenofovir/emtricitabine/elvitegravir/cobicistat. In November 2014, the patient changed clinics and an INSTI resistance test was ordered on his August 2014 sample.",main_text,"All sequencing was performed on the August 2014 baseline sample obtained at diagnosis, before the patient initiated ART; the resistance was transmitted, not acquired. No sequences were generated after ARV exposure.",Kimi K3 QSP,,,
27009474,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",None,FN_missed,"NRTI, INSTI",1,A baseline genotypic resistance test revealed... The patient was started on the once daily INSTI-containing fixed-dose combination tenofovir/emtricitabine/elvitegravir/cobicistat.,main_text,The only sequenced sample was obtained at baseline before the patient received any antiretroviral drugs; therefore no drug classes were received prior to sequencing.,Kimi K3 QSP,,,
27009474,16,List,Which drugs were received by individuals in the study before sample sequencing?,"Tenofovir, Emtricitabine, Elvitegravir",None,FN_missed,"Tenofovir (TFV), Emtricitabine (FTC), Elvitegravir (EVG), Cobicistat",1,A baseline genotypic resistance test revealed... The patient was started on the once daily INSTI-containing fixed-dose combination tenofovir/emtricitabine/elvitegravir/cobicistat.,main_text,Sequencing was performed on the pre-treatment August 2014 sample; no ARV drugs had been received by the patient before sample sequencing.,Kimi K3 QSP,,,
